FPDS_legal_business_name,SBIR_company,FPDS_city,FPDS_state,SBIR_city,SBIR_state,fuzz_score,search_keyword
SPACE COMPUTER CORPORATION,Space Computer Corporation,LOS ANGELES,CA,Los Angeles,CA,100,Space Computer Corporation
FRONTIER TECHNOLOGY INC.,Frontier Technology Inc.,GOLETA,CA,Beavercreek,OH,100,Frontier Technology Inc.
FRONTIER TECHNOLOGY INC.,Frontier Technology Inc.,GOLETA,CA,Beavercreek,OH,100,Frontier Technology Inc.
FRONTIER TECHNOLOGY INC.,Frontier Technology Inc.,BEAVERCREEK,OH,Beavercreek,OH,100,Frontier Technology Inc.
FRONTIER TECHNOLOGY INC.,Frontier Technology Inc.,BEAVERCREEK,OH,Beavercreek,OH,100,Frontier Technology Inc.
PRETALEN LTD,Pretalen LTD,COLUMBUS GROVE,OH,Beavercreek,OH,100,Pretalen LTD
PRETALEN LTD,Pretalen LTD,COLUMBUS GROVE,OH,Beavercreek,OH,100,Pretalen LTD
PRETALEN LTD,Pretalen LTD,DAYTON,OH,Beavercreek,OH,100,Pretalen LTD
PRETALEN LTD,Pretalen LTD,DAYTON,OH,Beavercreek,OH,100,Pretalen LTD
"NIMBIS SERVICES, INC.",NIMBIS SERVICES INC,ORO VALLEY,AZ,Oro Valley,AZ,100,NIMBIS SERVICES INC
"MAYFLOWER COMMUNICATIONS COMPANY, INC.","Mayflower Communications Company, Inc.",BURLINGTON,MA,Bedford,MA,100,"Mayflower Communications Company, Inc."
"MAYFLOWER COMMUNICATIONS COMPANY, INC.","Mayflower Communications Company, Inc.",BURLINGTON,MA,Bedford,MA,100,"Mayflower Communications Company, Inc."
"MAYFLOWER COMMUNICATIONS COMPANY, INC.","Mayflower Communications Company, Inc.",BEDFORD,MA,Bedford,MA,100,"Mayflower Communications Company, Inc."
"MAYFLOWER COMMUNICATIONS COMPANY, INC.","Mayflower Communications Company, Inc.",BEDFORD,MA,Bedford,MA,100,"Mayflower Communications Company, Inc."
GARVEY SPACECRAFT CORPORATION,Garvey Spacecraft Corporation,LONG BEACH,CA,Long Beach,CA,100,Garvey Spacecraft Corporation
"SPACE PROPULSION GROUP, INC.","Space Propulsion Group, Inc.",SUNNYVALE,CA,San Mateo,CA,100,"Space Propulsion Group, Inc."
"KNOWLEDGE BASED SYSTEMS, INC.","KNOWLEDGE BASED SYSTEMS, INC.",COLLEGE STATION,TX,College Station,TX,100,"KNOWLEDGE BASED SYSTEMS, INC."
TORCH TECHNOLOGIES INC,"Torch Technologies, Inc.",HUNTSVILLE,AL,Huntsville,AL,100,"Torch Technologies, Inc."
"FIFTH GAIT TECHNOLOGIES, INC.",FIFTH GAIT TECHNOLOGIES INC,SANTA BARBARA,CA,Santa Barbara,CA,100,FIFTH GAIT TECHNOLOGIES INC
"SIMVENTIONS, INC","SimVentions, Inc.",FREDERICKSBURG,VA,FREDERICKSBURG,VA,100,"SimVentions, Inc."
"SIMVENTIONS, INC.","SimVentions, Inc.",FREDERICKSBURG,VA,FREDERICKSBURG,VA,100,"SimVentions, Inc."
ROBOTEK ENGINEERING INC,"RoboTek Engineering, Inc.",GAINESVILLE,TX,Tucson,AZ,100,"RoboTek Engineering, Inc."
FOSTER-MILLER INC,"FOSTER-MILLER, INC.",WALTHAM,MA,Waltham,MA,100,"FOSTER-MILLER, INC."
ADAPTIVE TECHNOLOGIES INC,"Adaptive Technologies, Inc.",BLACKSBURG,VA,BLACKSBURG,VA,100,"Adaptive Technologies, Inc."
TRIDENT SYSTEMS INCORPORATED,TRIDENT SYSTEMS INCORPORATED,FAIRFAX,VA,Fairfax,VA,100,TRIDENT SYSTEMS INCORPORATED
"NOESIS, INC","NOESIS, INC.",MANASSAS,VA,Manassas,VA,100,"NOESIS, INC."
ARETE ASSOCIATES,Arete Associates,NORTHRIDGE,CA,Northridge,CA,100,Arete Associates
HOOD TECHNOLOGY CORPORATION,HOOD TECHNOLOGY CORPORATION,HOOD RIVER,OR,Hood River,OR,100,HOOD TECHNOLOGY CORPORATION
"NOKOMIS, INC",NOKOMIS INC,CHARLEROI,PA,Charleroi,PA,100,NOKOMIS INC
RED TAIL HAWK CORP,RED TAIL HAWK CORP,ITHACA,NY,Philadelphia,PA,100,RED TAIL HAWK CORP
"ADVANCED ACOUSTIC CONCEPTS, INC.","Advanced Acoustic Concepts, Inc.",HAUPPAUGE,NY,Hauppauge,NY,100,"Advanced Acoustic Concepts, Inc."
"COHERENT TECHNICAL SERVICES, INC.","COHERENT TECHNICAL SERVICES, INC.",LEXINGTON PARK,MD,Lexington Park,MD,100,"COHERENT TECHNICAL SERVICES, INC."
"ADVANCED TECHNOLOGIES GROUP, INC.","ADVANCED TECHNOLOGIES GROUP, INC.",STUART,FL,Stuart,FL,100,"ADVANCED TECHNOLOGIES GROUP, INC."
PHYSICAL OPTICS CORPORATION,Physical Optics Corporation,TORRANCE,CA,Torrance,CA,100,Physical Optics Corporation
"STOTTLER HENKE ASSOCIATES, INC.","Stottler Henke Associates, Inc.",SAN MATEO,CA,San Mateo,CA,100,"Stottler Henke Associates, Inc."
"HYDRONALIX, INC.",HYDRONALIX INC,GREEN VALLEY,AZ,Green Valley,AZ,100,HYDRONALIX INC
DDL OMNI ENGINEERING LLC,"DDL Omni Engineering, LLC",MC LEAN,VA,McLean,VA,100,"DDL Omni Engineering, LLC"
"ADAPTIVE METHODS, INC.","ADAPTIVE METHODS, INC.",CENTREVILLE,VA,Centreville,VA,100,"ADAPTIVE METHODS, INC."
"TRITON SYSTEMS, INC.","TRITON SYSTEMS, INC.",CHELMSFORD,MA,CHELMSFORD,MA,100,"TRITON SYSTEMS, INC."
"LAMBDA SCIENCE, INC.","LAMBDA SCIENCE, INC.",BRYN MAWR,PA,Wayne,PA,100,"LAMBDA SCIENCE, INC."
"OCEANIT LABORATORIES, INC.",OCEANIT LABORATORIES INC,HONOLULU,HI,Honolulu,HI,100,OCEANIT LABORATORIES INC
SURFACE OPTICS CORP.,SURFACE OPTICS CORP,SAN DIEGO,CA,San Diego,CA,100,SURFACE OPTICS CORP
"CHESAPEAKE TECHNOLOGY INTERNATIONAL, CORP.","Chesapeake Technology International, Corp.",CALIFORNIA,MD,California,MD,100,"Chesapeake Technology International, Corp."
"INTERNATIONAL ASSOCIATION OF VIRTUAL ORGANIZATIONS, INCORPORATED","INTERNATIONAL ASSOCIATION OF VIRTUAL ORGANIZATIONS, INCORPORATED",DURHAM,NC,Durham,NC,100,"INTERNATIONAL ASSOCIATION OF VIRTUAL ORGANIZATIONS, INCORPORATED"
"GS ENGINEERING, INC.",GS ENGINEERING INC,HOUGHTON,MI,Houghton,MI,100,GS ENGINEERING INC
"CHARLES RIVER ANALYTICS, INC.","CHARLES RIVER ANALYTICS, INC.",CAMBRIDGE,MA,Cambridge,MA,100,"CHARLES RIVER ANALYTICS, INC."
"ADVANCED PROJECTS RESEARCH, INCORPORATED","Advanced Projects Research, Incorporated",LA VERNE,CA,La Verne,CA,100,"Advanced Projects Research, Incorporated"
"ADVANCED OPTICAL SYSTEMS, INC.","Advanced Optical Systems, Inc",HUNTSVILLE,AL,Huntsville,AL,100,"Advanced Optical Systems, Inc"
LOCUST USA INC,"Locust, USA, Inc.",MIAMI,FL,Miami,FL,100,"Locust, USA, Inc."
WEDEVEN ASSOCIATES INC,"Wedeven Associates, Inc.",EDGEMONT,PA,Edgmont,PA,100,"Wedeven Associates, Inc."
"2PHASE TECHNOLOGIES, INC.","2PHASE TECHNOLOGIES, INC.",MOUND HOUSE,NV,Dayton,NV,100,"2PHASE TECHNOLOGIES, INC."
"ADVANCED CERAMICS MANUFACTURING, LLC","ADVANCED CERAMICS MANUFACTURING, LLC",TUCSON,AZ,Tucson,AZ,100,"ADVANCED CERAMICS MANUFACTURING, LLC"
TECHNOLOGY SERVICE CORPORATION,Technology Service Corporation,SILVER SPRING,MD,Arlington,VA,100,Technology Service Corporation
NANOSONIC INC.,NANOSONIC INC,PEMBROKE,VA,Pembroke,VA,100,NANOSONIC INC
HARP ENGINEERING LLC,HARP ENGINEERING LLC,GAINESVILLE,FL,Ann Arbor,MI,100,HARP ENGINEERING LLC
PIASECKI AIRCRAFT CORPORATION,Piasecki Aircraft Corporation,ESSINGTON,PA,Essington,PA,100,Piasecki Aircraft Corporation
"ADVENTIUM ENTERPRISES, LLC","ADVENTIUM ENTERPRISES, LLC",MINNEAPOLIS,MN,Minneapolis,MN,100,"ADVENTIUM ENTERPRISES, LLC"
"AREA I, INC.","Area I, Inc.",KENNESAW,GA,Kennesaw,GA,100,"Area I, Inc."
"PERCEPTRONICS SOLUTIONS, INC.","Perceptronics Solutions, Inc. ",SHERMAN OAKS,CA,Sherman Oaks,CA,100,"Perceptronics Solutions, Inc. "
"PERCEPTRONICS SOLUTIONS, INC.","Perceptronics Solutions, Inc. ",SHERMAN OAKS,CA,Sherman Oaks,CA,100,"Perceptronics Solutions, Inc. "
"PERCEPTRONICS SOLUTIONS, INC.","Perceptronics Solutions, Inc. ",FALLS CHURCH,VA,Sherman Oaks,CA,100,"Perceptronics Solutions, Inc. "
"PERCEPTRONICS SOLUTIONS, INC.","Perceptronics Solutions, Inc. ",FALLS CHURCH,VA,Sherman Oaks,CA,100,"Perceptronics Solutions, Inc. "
LAKOTA TECHNICAL SOLUTIONS INC,LAKOTA TECHNICAL SOLUTIONS INC,LAUREL,MD,Columbia,MD,100,LAKOTA TECHNICAL SOLUTIONS INC
SYS,SYS,SAN DIEGO,CA,San Diego,CA,100,SYS
SEEMANN COMPOSITES INC,"SEEMANN COMPOSITES, INC.",GULFPORT,MS,Gulfport,MS,100,"SEEMANN COMPOSITES, INC."
"OPTICS 1, INC","OPTICS 1, INC.",WESTLAKE VILLA,CA,Westlake Village,CA,100,"OPTICS 1, INC."
RADIX TECHNOLOGIES INC,"RADIX TECHNOLOGIES, INC.",MOUNTAIN VIEW,CA,Mountain View,CA,100,"RADIX TECHNOLOGIES, INC."
ORGANIZATIONAL STRATEGIES INC,ORGANIZATIONAL STRATEGIES INC,ARLINGTON,VA,Manassas,VA,100,ORGANIZATIONAL STRATEGIES INC
SCIENTIFIC RESEARCH CORP,SCIENTIFIC RESEARCH CORP.,ATLANTA,GA,Atlanta,GA,100,SCIENTIFIC RESEARCH CORP.
"LAMBDA SCIENCE, INC","LAMBDA SCIENCE, INC.",BRYN MAWR,PA,Wayne,PA,100,"LAMBDA SCIENCE, INC."
MAGCANICA INC,"Magcanica, Inc.",SAN DIEGO,CA,San Diego,CA,100,"Magcanica, Inc."
LOGIS TECH INC,"LOGIS-TECH, INC.",MANASSAS,VA,Alexandria,VA,100,"LOGIS-TECH, INC."
"COMMUNICATIONS & EAR PROTECTION, INC.","COMMUNICATIONS & EAR PROTECTION, INC.",ENTERPRISE,AL,Enterprise,AL,100,"COMMUNICATIONS & EAR PROTECTION, INC."
RADIO HYDRO PHYSICS LLC,Radio-Hydro-Physics LLC,FAIRMONT,WV,Fairmont,WV,100,Radio-Hydro-Physics LLC
"TECHNICAL DATA ANALYSIS, INC.","TECHNICAL DATA ANALYSIS, INC.",FALLS CHURCH,VA,Falls Church,VA,100,"TECHNICAL DATA ANALYSIS, INC."
"INNOVATIVE DEFENSE TECHNOLOGIES, LLC","Innovative Defense Technologies, LLC",ARLINGTON,VA,Arlington,VA,100,"Innovative Defense Technologies, LLC"
"REYNOLDS SYSTEMS, INC.","REYNOLDS SYSTEMS, INC.",MIDDLETOWN,CA,MIDDLETOWN,CA,100,"REYNOLDS SYSTEMS, INC."
"BENNETT AEROSPACE, INC.","Bennett Aerospace, Inc.",CARY,NC,Cary,NC,100,"Bennett Aerospace, Inc."
"DANTE SOLUTIONS, INC.","DANTE Solutions, Inc.",CLEVELAND,OH,Cleveland,OH,100,"DANTE Solutions, Inc."
SPACE PROPULSION GROUP INC,"Space Propulsion Group, Inc.",SUNNYVALE,CA,San Mateo,CA,100,"Space Propulsion Group, Inc."
SPACE PROPULSION GROUP INC,"Space Propulsion Group, Inc.",SUNNYVALE,CA,San Mateo,CA,100,"Space Propulsion Group, Inc."
SPACE PROPULSION GROUP INC,"Space Propulsion Group, Inc.",RESTON,VA,San Mateo,CA,100,"Space Propulsion Group, Inc."
SPACE PROPULSION GROUP INC,"Space Propulsion Group, Inc.",RESTON,VA,San Mateo,CA,100,"Space Propulsion Group, Inc."
SCITEC INC,"SciTec, Inc.",PRINCETON,NJ,Princeton,NJ,100,"SciTec, Inc."
"SONALYSTS, INC",SONALYSTS INC,WATERFORD,CT,Waterford,CT,100,SONALYSTS INC
ROTORDYNAMICS SEAL RESEARCH,ROTORDYNAMICS-SEAL RESEARCH,LOOMIS,CA,Loomis,CA,100,ROTORDYNAMICS-SEAL RESEARCH
STOTTLER HENKE ASSOCIATES INC,"Stottler Henke Associates, Inc.",SAN MATEO,CA,San Mateo,CA,100,"Stottler Henke Associates, Inc."
"MODUS OPERANDI, INC.","Modus Operandi, Inc.",MELBOURNE,FL,Melbourne,FL,100,"Modus Operandi, Inc."
SYSTEMS & PROCESSES ENGINEERING CORPORATION,Systems & Processes Engineering Corporation,AUSTIN,TX,Austin,TX,100,Systems & Processes Engineering Corporation
RDA INC,RDA Inc.,DOYLESTOWN,PA,Doylestown,PA,100,RDA Inc.
"GENEVA AEROSPACE, INC","GENEVA AEROSPACE, INC.",CARROLLTON,TX,Carrollton,TX,100,"GENEVA AEROSPACE, INC."
"VANGUARD SPACE TECHNOLOGIES, INC.","VANGUARD SPACE TECHNOLOGIES, INC",SAN DIEGO,CA,San Diego,CA,100,"VANGUARD SPACE TECHNOLOGIES, INC"
"STOTTLER HENKE ASSOCIATES, INC","Stottler Henke Associates, Inc.",SAN MATEO,CA,San Mateo,CA,100,"Stottler Henke Associates, Inc."
REYNOLDS SYSTEMS INC,"REYNOLDS SYSTEMS, INC.",MIDDLETOWN,CA,MIDDLETOWN,CA,100,"REYNOLDS SYSTEMS, INC."
"JENTEK SENSORS, INC.","Jentek Sensors, Inc.",WALTHAM,MA,Marlborough,MA,100,"Jentek Sensors, Inc."
"JENTEK SENSORS, INC.","Jentek Sensors, Inc.",WALTHAM,MA,Marlborough,MA,100,"Jentek Sensors, Inc."
"JENTEK SENSORS, INC.","Jentek Sensors, Inc.",MARLBOROUGH,MA,Marlborough,MA,100,"Jentek Sensors, Inc."
"JENTEK SENSORS, INC.","Jentek Sensors, Inc.",MARLBOROUGH,MA,Marlborough,MA,100,"Jentek Sensors, Inc."
ITCN INC,"ITCN, Inc.",MIAMISBURG,OH,Dayton,OH,100,"ITCN, Inc."
PHYSICAL SCIENCES INC,Physical Sciences Inc.,ANDOVER,MA,Andover,MA,100,Physical Sciences Inc.
"REYNOLDS SYSTEMS, INC","REYNOLDS SYSTEMS, INC.",MIDDLETOWN,CA,MIDDLETOWN,CA,100,"REYNOLDS SYSTEMS, INC."
"PROSENSING, INC.","Prosensing, Inc.",AMHERST,MA,Amherst,MA,100,"Prosensing, Inc."
AURORA FLIGHT SCIENCES CORPORATION,AURORA FLIGHT SCIENCES CORPORATION,MANASSAS,VA,Manassas,VA,100,AURORA FLIGHT SCIENCES CORPORATION
THAYERMAHAN INC.,ThayerMahan Inc.,GROTON,CT,Groton,CT,100,ThayerMahan Inc.
"REMOTE SENSING SOLUTIONS, INC.","REMOTE SENSING SOLUTIONS, INC.",BARNSTABLE,MA,Buzzards Bay,MA,100,"REMOTE SENSING SOLUTIONS, INC."
"STORMCENTER COMMUNICATIONS, INC.","STORMCENTER COMMUNICATIONS, INC.",HALETHORPE,MD,Baltimore,MD,100,"STORMCENTER COMMUNICATIONS, INC."
"BRANDYWINE PHOTONICS, LLC","Brandywine Photonics, LLC",WEST CHESTER,PA,West Chester,PA,100,"Brandywine Photonics, LLC"
STORMCENTER COMMUNICATIONS INC,"STORMCENTER COMMUNICATIONS, INC.",HALETHORPE,MD,Baltimore,MD,100,"STORMCENTER COMMUNICATIONS, INC."
STORMCENTER COMMUNICATIONS INC,"STORMCENTER COMMUNICATIONS, INC.",HALETHORPE,MD,Baltimore,MD,100,"STORMCENTER COMMUNICATIONS, INC."
STORMCENTER COMMUNICATIONS INC,"STORMCENTER COMMUNICATIONS, INC.",ELLICOTT CITY,MD,Baltimore,MD,100,"STORMCENTER COMMUNICATIONS, INC."
STORMCENTER COMMUNICATIONS INC,"STORMCENTER COMMUNICATIONS, INC.",ELLICOTT CITY,MD,Baltimore,MD,100,"STORMCENTER COMMUNICATIONS, INC."
CVISION AI INC,CVISION AI INC,MEDFORD,MA,Medford,MA,100,CVISION AI INC
"SYNCHROTRON RESEARCH, INC.","Synchrotron Research, Inc.",MELBOURNE BEACH,FL,Redwood City,CA,100,"Synchrotron Research, Inc."
"SYNCHROTRON RESEARCH, INC.","Synchrotron Research, Inc.",MELBOURNE BEACH,FL,Redwood City,CA,100,"Synchrotron Research, Inc."
"SYNCHROTRON RESEARCH, INC.","Synchrotron Research, Inc.",MELBOURNE,FL,Redwood City,CA,100,"Synchrotron Research, Inc."
"SYNCHROTRON RESEARCH, INC.","Synchrotron Research, Inc.",MELBOURNE,FL,Redwood City,CA,100,"Synchrotron Research, Inc."
TRACLABS INC.,Traclabs Inc.,SAN ANTONIO,TX,San Antonio,TX,100,Traclabs Inc.
"CATALYST COMMUNICATIONS TECHNOLOGIES, INC.","CATALYST COMMUNICATIONS TECHNOLOGIES, INC.",FOREST,VA,San Diego,CA,100,"CATALYST COMMUNICATIONS TECHNOLOGIES, INC."
STREET SMARTS VR INC.,STREET SMARTS VR INC,NEW YORK,NY,New York,NY,100,STREET SMARTS VR INC
"DISCOVERY MACHINE, INC.",DISCOVERY MACHINE INC,WILLIAMSPORT,PA,Williamsport,PA,100,DISCOVERY MACHINE INC
BLUESTAQ LLC,BLUESTAQ LLC,COLORADO SPRINGS,CO,Colorado Springs,CO,100,BLUESTAQ LLC
VANA SOLUTIONS LLC,VANA SOLUTIONS LLC,BEAVERCREEK,OH,Beavercreek,OH,100,VANA SOLUTIONS LLC
"SECOND FRONT SYSTEMS, INC.","Second Front Systems, Inc.",ARLINGTON,VA,Arlington,VA,100,"Second Front Systems, Inc."
"VALID EVALUATION, INC.",VALID EVALUATION INC,DENVER,CO,Denver,CO,100,VALID EVALUATION INC
202 GROUP LLC,202 GROUP LLC,WASHINGTON,DC,Washington,DC,100,202 GROUP LLC
"COSMIC ADVANCED ENGINEERED SOLUTIONS, INC.","Cosmic Advanced Engineered Solutions, Inc.",COLORADO SPRINGS,CO,Colorado Springs,CO,100,"Cosmic Advanced Engineered Solutions, Inc."
"COLDQUANTA, INC.","Coldquanta, Inc.",BOULDER,CO,Boulder,CO,100,"Coldquanta, Inc."
IT CADRE LLC,IT Cadre LLC,ASHBURN,VA,Ashburn,VA,100,IT Cadre LLC
RED SIX AEROSPACE INC.,RED SIX AEROSPACE INC.,SANTA MONICA,CA,Orlando,FL,100,RED SIX AEROSPACE INC.
PRESCIENT EDGE CORPORATION,PRESCIENT EDGE CORPORATION,MC LEAN,VA,McLean,VA,100,PRESCIENT EDGE CORPORATION
ADVANCED TECHNOLOGY AND RESEARCH CORPORATION,Advanced Technology And Research Corporation,BELTSVILLE,MD,Beltsville,MD,100,Advanced Technology And Research Corporation
ECCALON LLC,Eccalon LLC,HANOVER,MD,Hanover,MD,100,Eccalon LLC
"DEFENSE UNICORNS, INC.","DEFENSE UNICORNS, INC.",COLORADO SPRINGS,CO,Colorado Springs,CO,100,"DEFENSE UNICORNS, INC."
OTEEMO INC.,Oteemo Inc.,RESTON,VA,Reston,VA,100,Oteemo Inc.
SILICON MOUNTAIN TECHNOLOGIES INC,SILICON MOUNTAIN TECHNOLOGIES INC,LAKEWOOD,CO,Arvada,CO,100,SILICON MOUNTAIN TECHNOLOGIES INC
IST RESEARCH CORP.,IST Research Corp.,FREDERICKSBURG,VA,Fredericksburg,VA,100,IST Research Corp.
"SEACORP, LLC","SEACORP, LLC",MIDDLETOWN,RI,Middletown,RI,100,"SEACORP, LLC"
ANSOL INC,ANSOL INC,SAN DIEGO,CA,San Diego,CA,100,ANSOL INC
BEAST CODE LLC,BEAST CODE LLC,FORT WALTON BEACH,FL,Fort Walton Beach,FL,100,BEAST CODE LLC
"PERDUCO GROUP, INC., THE","Perduco Group, Inc., The",BEAVERCREEK,OH,Beavercreek,OH,100,"Perduco Group, Inc., The"
"ARMAMENTS RESEARCH COMPANY, INC.","Armaments Research Company, Inc.",BETHESDA,MD,Bethesda,MD,100,"Armaments Research Company, Inc."
